strike price,call price,put price,S0
80,90.54,0.05,165.8088
85,82.36,0.11,165.8088
90,66.35,0.11,165.8088
95,72.59,0.15,165.8088
100,71.05,0.18,165.8088
105,67.7,0.18,165.8088
110,64.7,0.29,165.8088
115,60.47,0.35,165.8088
120,51.43,0.48,165.8088
125,46.92,0.76,165.8088
130,42.4,0.94,165.8088
135,37.35,1.3,165.8088
140,33.3,1.81,165.8088
145,28.77,2.53,165.8088
150,24.95,3.43,165.8088
155,21.5,4.55,165.8088
160,17.7,6.1,165.8088
165,14.97,7.92,165.8088
170,12.1,10.05,165.8088
175,9.55,12.75,165.8088
180,7.45,15.43,165.8088
185,5.7,18.85,165.8088
190,4.25,22.13,165.8088
195,3.08,26.57,165.8088
200,2.32,30.55,165.8088
205,1.68,35.5,165.8088
210,1.24,39.85,165.8088
215,0.9,45.05,165.8088
220,0.66,49.8,165.8088
225,0.49,54.82,165.8088
230,0.36,56.55,165.8088
235,0.31,65.42,165.8088
240,0.25,74.1,165.8088
245,0.2,75.14099774,165.8088
250,0.15,76.67,165.8088
255,0.2,99,165.8088
260,0.17,99.21,165.8088
265,0.14,99.33,165.8088
270,0.11,100.02,165.8088
275,0.08,100.07,165.8088
280,0.08,112.26,165.8088
285,0.09,119.28,165.8088
290,0.07,120.1,165.8088
